,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
0,17.995226569526984,7.195875007972731,2.335177745096401,87.04537352162795,86.43657122515548,87.98872926614362,0.6182203389830511,148.0,6.405792268262776,71.85461439774876,1.933047540983607,71.86414860289686,6.2
1,9.82819940712348,9.553920423598658,1.5516801175874828,93.80021434573597,89.71985640617012,93.5544415621584,0.6182203389830511,102.9480861244019,6.405792268262776,80.65989200187508,1.933047540983607,35.249829763140184,5.0777777777777775
2,18.174855122650513,7.52882617072204,2.4149747325772792,85.60302842719403,84.73782458557669,85.63445153454917,0.23,132.0,5.779750152,72.56327448128442,1.933047540983607,59.61788075313121,5.6
3,32.487,6.423,4.473,66.0,66.0,64.0,0.04,189.0,6.6555611518,64.486,1.933047540983607,56.93776000980302,4.1
4,11.78,7.898,1.617,99.0,99.0,94.0,0.03,18.0,2.2894924438,78.458,1.933047540983607,104.61226277372263,5.0777777777777775
5,24.282,4.716,3.023,91.0,91.0,80.0,0.05,69.0,6.405792268262776,76.693,1.7193,17.730075071166457,5.0777777777777775
6,19.470302335433498,7.61479427962278,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,0.0,6.405792268262776,72.76090832407365,1.933047540983607,277.325,5.0777777777777775
7,7.2,4.4,2.625965833807269,99.0,98.0,99.0,0.6182203389830511,3.0,6.405792268262776,72.76090832407365,1.933047540983607,163.84255319148937,5.0777777777777775
8,40.729,8.19,5.519,63.0,59.0,50.0,0.9,355.0,6.405792268262776,60.782,1.933047540983607,24.713052057431618,5.0777777777777775
9,15.327,6.366,1.994,95.0,95.0,96.0,0.6182203389830511,6.0,6.405792268262776,76.885,1.933047540983607,218.8318181818182,5.0777777777777775
10,17.021,7.609,2.261,86.0,86.0,94.0,0.13,27.0,5.3244787387,76.52,1.933047540983607,16.25851009796506,5.0777777777777775
11,13.987,9.857,1.755,92.0,92.0,95.0,0.06,31.0,1.693915557,74.945,1.933047540983607,103.68022479803302,5.0777777777777775
12,11.652,9.053,1.896,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,5.4,6.405792268262776,76.152,1.933047540983607,588.0277777777778,5.0777777777777775
